Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards
Jazmin Jackmon,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erica Skroski,NJ,7,7,630,0,0,0,0,2,0,0,0,0,0,0
Kenie Wright,NJ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Veronica Boquete Giadans,UTA,7,7,579,0,2,2,0,9,0,19,0,0,0,0
Katie Bowen,UTA,6,6,540,0,0,3,1,4,0,0,0,0,1,0
Rachel Corsie,UTA,5,5,450,0,0,2,1,3,1,0,0,0,1,0
Meghan Cox,UTA,2,0,8,0,0,0,0,1,0,0,0,0,0,0
Samantha Johnson,UTA,5,5,405,0,0,1,0,4,0,0,0,0,1,0
Gunnhildur Yrsa Jónsdóttir,UTA,7,7,630,0,1,5,1,9,0,0,0,0,0,0
Alexandra Kimball,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecelia Kizer,HOU,2,1,81,0,0,0,0,0,0,0,0,0,0,0
Mandy Laddish,UTA,6,4,324,0,0,1,1,1,0,0,0,0,0,0
Michelle Maemone,UTA,5,5,368,0,1,1,0,2,0,0,0,0,1,0
Sydney Miramontez,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rebecca Moros,UTA,3,3,253,0,0,0,0,3,0,0,0,0,0,0
Alexa Newfield,UTA,1,0,18,0,0,0,0,0,0,0,0,0,0,0
Kelley O'Hara,UTA,2,0,62,0,0,1,0,0,0,0,0,0,0,0
Veronica Latsko,HOU,4,1,117,0,0,5,1,3,0,0,0,0,0,0
Kayla McCoy,HOU,1,1,54,0,0,0,0,1,1,0,0,0,0,0
Becky Sauerbrunn,UTA,2,2,180,0,0,0,0,1,0,0,0,0,0,0
Desiree Scott,UTA,3,3,270,0,0,0,0,1,0,0,0,0,0,0
Katie Stengel,UTA,7,5,471,0,0,12,7,5,3,0,0,0,0,0
Raisa Strom-Okimoto,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erika Tymrak,UTA,5,0,132,0,0,1,0,0,0,0,0,0,0,0
Gaby Vincent,UTA,3,2,225,0,0,0,0,1,0,4,0,0,0,0
Mallory Weber,UTA,4,0,54,0,0,0,0,1,0,0,0,0,0,0
Kristie Mewis,HOU,5,3,311,0,0,3,1,3,0,3,0,0,0,0
McKenzie Berryhill,WAS,1,0,16,0,0,0,0,1,0,0,0,0,0,0
Satara Murray,HOU,4,4,347,0,0,0,0,4,0,0,0,0,1,0
Zoey Goralski,CHI,1,0,15,0,0,1,0,1,0,0,0,0,0,0
Meggie Dougherty Howard,WAS,7,6,530,0,0,8,4,18,0,0,0,0,3,0
Cali Farquharson,WAS,6,2,201,0,1,1,0,2,1,0,0,0,0,0
Bayley Feist,WAS,2,0,16,0,0,0,0,1,0,0,0,0,0,0
Amy Harrison,WAS,4,4,262,0,2,1,1,4,0,0,0,0,0,0
Sarah Gorden,CHI,7,7,614,0,0,0,0,2,0,0,0,0,0,0
Carlin Hudson,WAS,2,0,19,0,0,0,0,0,0,0,0,0,0,0
Tori Huster,WAS,6,6,495,0,1,1,0,5,0,0,0,0,0,0
Rose Lavelle,WAS,1,0,45,0,0,1,0,0,0,1,0,0,0,0
Chloe Logarzo,WAS,3,2,180,0,0,1,0,4,0,0,0,0,1,0
Clare Polkinghorne,HOU,6,6,540,0,0,2,2,2,0,0,0,0,0,0
Tiffany McCarty,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tegan McGrady,WAS,4,4,329,0,0,0,0,3,0,2,0,0,0,0
Paige Nielsen,WAS,7,7,630,0,0,2,1,4,0,0,0,0,1,0
Mallory Pugh,WAS,2,2,180,0,1,4,2,1,3,8,0,0,0,0
Arielle Ship,WAS,2,2,141,0,1,2,0,1,0,0,0,0,0,0
Andi Sullivan,WAS,7,7,630,0,0,6,2,2,0,0,0,0,0,0
Crystal Elaine Thomas,WAS,1,0,16,0,0,0,0,1,1,0,0,0,0,0
