Player,Position
Francisca Gabriela Morais da Rocha,Midfielder
Amandine Pierre-Louis,Defender
Dominique Richardson,Defender
Raquel Rodriguez,Midfielder
Kailen Sheridan,Goalkeeper
Erica Skroski,Defender
Madison Tiernan,Midfielder
Kenie Wright,Midfielder
Nicole Barnhart,Goalkeeper
Veronica Boquete Giadans,Midfielder
Katie Bowen,Midfielder
Rachel Corsie,Defender
Meghan Cox,Midfielder
Makenzy Doniak,Midfielder
Madeline Elliston,Defender
Samantha Johnson,Defender
Gunnhildur Yrsa Jónsdóttir,Midfielder
Alexandra Kimball,Attacker
Lo’eau LaBonta,Midfielder
Mandy Laddish,Midfielder
Taylor Lytle,Midfielder
Michelle Maemone,Defender
Diana Matheson,Midfielder
Sydney Miramontez,Defender
Rebecca Moros,Midfielder
Alexa Newfield,Midfielder
Kelley O'Hara,Defender
Christen Press,Attacker
Brittany Ratcliffe,Attacker
Amy Rodriguez,Attacker
Becky Sauerbrunn,Defender
Desiree Scott,Midfielder
Abby Smith,Goalkeeper
Katie Stengel,Attacker
Raisa Strom-Okimoto,Attacker
Erika Tymrak,Midfielder
Gaby Vincent,Defender
Mallory Weber,Attacker
Dorian Bailey,Midfielder
McKenzie Berryhill,Defender
Aubrey Bledsoe,Goalkeeper
Whitney Church,Defender
Megan Crosson,Defender
Jordan DiBiasi,Midfielder
Meggie Dougherty Howard,Midfielder
Caprice Dydasco,Defender
Mallory Eubanks,Attacker
Cali Farquharson,Attacker
Bayley Feist,Midfielder
DiDi Haracic,Goalkeeper
Amy Harrison,Midfielder
Ashley Hatch,Attacker
Carlin Hudson,Midfielder
Tori Huster,Defender
Estelle Johnson,Defender
Rose Lavelle,Midfielder
Chloe Logarzo,Midfielder
Joanna Lohman,Midfielder
Cheyna Matthews,Attacker
Tiffany McCarty,Attacker
Tegan McGrady,Defender
Paige Nielsen,Attacker
Francisca Ordega,Attacker
Sammy Jo Prudhomme,Goalkeeper
Mallory Pugh,Attacker
Arielle Ship,Attacker
Havana Solaun,Midfielder
Samantha Staab,Defender
Andi Sullivan,Midfielder
Crystal Elaine Thomas,Attacker
Kelsey Wys,Goalkeeper
Shae Yanez,Goalkeeper
