Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position
Cami Privett,HOU,16,8,750,0,0,3,0,5,1,0,0,0,1,0,2017,
Cari Roccaro,HOU,18,16,1500,0,0,1,0,15,1,0,0,0,3,0,2017,
Katherine Reynolds,POR,10,10,883,0,0,0,0,9,0,0,0,0,1,0,2017,Defender
Meleana Shim,POR,6,3,209,0,0,3,0,2,1,3,0,0,0,0,2017,
Janine van Wyk,HOU,17,17,1472,0,0,1,1,18,0,0,0,0,4,0,2017,Defender
Hayley Dowd,BOS,1,0,25,0,0,1,0,0,0,0,0,0,0,0,2017,
Morgan Andrews,BOS,18,10,1034,0,0,13,5,16,1,13,0,0,2,0,2017,Midfielder
Lauren Barnes,SEA,22,21,1811,0,0,0,0,14,0,22,0,0,5,1,2017,Defender
Madeline Bauer,SEA,5,1,153,0,0,0,0,3,0,0,0,0,0,0,2017,
Rachel Corsie,SEA,14,12,1126,0,1,3,1,12,0,0,0,0,1,0,2017,Defender
Caroline Flynn,KC,10,0,152,0,0,2,2,2,0,0,0,0,0,0,2017,
Arin Wright,CHI,22,21,1765,0,0,5,1,21,1,3,0,0,2,0,2017,
Sarah Gorden,CHI,5,3,224,0,0,0,0,2,0,0,0,0,0,0,2017,Defender
Summer Green,CHI,7,1,137,0,0,1,0,2,1,0,0,0,0,0,2017,Midfielder
Michaela Hahn,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Brooke Elby,BOS,13,10,848,0,0,6,1,10,0,1,0,0,2,0,2017,
Ifeoma Onumonu,BOS,18,3,509,0,1,8,2,6,1,0,0,0,0,0,2017,Attacker
Sydney Miramontez,KC,5,5,450,0,1,1,1,0,0,10,0,0,0,0,2017,Defender
Rebecca Moros,KC,19,17,1552,0,0,2,1,15,2,2,0,0,1,0,2017,Midfielder
Samantha Johnson,CHI,22,22,1785,0,0,1,0,9,0,0,0,0,2,0,2017,Defender
Carson Pickett,SEA,21,21,1869,0,0,7,0,9,0,0,0,0,2,0,2017,
Elli Reed,SEA,4,1,101,0,0,0,0,0,0,0,0,0,0,0,2017,
Rebekah Stott,SEA,22,18,1714,0,1,10,3,4,1,0,0,0,1,0,2017,
Lauren Kaskie,CHI,7,2,213,0,0,1,1,6,0,4,0,0,1,0,2017,
Brianne Reed,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Cassidy Benintente,NJ,1,0,30,0,0,0,0,0,0,0,0,0,0,0,2017,
Mary Luba,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Kim DeCesare,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Mandy Freeman,NJ,21,20,1802,0,1,2,1,5,0,0,0,0,0,0,2017,Defender
Megan Oyster,BOS,23,23,2070,0,0,7,1,17,0,0,0,0,3,0,2017,Defender
Desiree Scott,KC,21,20,1803,0,2,6,4,19,0,0,0,0,0,0,2017,Midfielder
Natasha Kai,NJ,1,0,19,0,0,0,0,1,0,0,0,0,0,0,2017,
Brittany Taylor,KC,23,22,1980,0,0,6,1,20,2,1,0,0,1,0,2017,
Stephanie McCaffrey,CHI,12,4,364,0,0,7,3,2,3,0,0,0,0,0,2017,Attacker
Taylor Lytle,NJ,21,20,1688,0,5,12,3,3,3,40,0,0,0,0,2017,Midfielder
