Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Position
Christina Gibbons,NJ,18,16,1430,0,0,1,0,9,0,1,0,0,2,0,Defender
Kaleigh Kurtz,NC,6,6,540,0,0,1,0,4,0,0,0,0,1,0,Defender
Jennifer Hoy,NJ,10,2,217,0,0,3,2,2,2,0,0,0,1,0,Attacker
Morgan Brian,CHI,9,6,511,0,0,7,1,4,2,0,0,0,0,0,Midfielder
Adriana Leon,NJ,8,1,185,0,0,6,0,1,0,1,0,0,0,0,
Claire Falknor,HOU,2,0,27,0,0,0,0,1,0,0,0,0,0,0,
Heather O'Reilly,NC,8,2,261,0,0,1,1,3,1,5,0,0,0,0,Midfielder
McKenzie Meehan,NJ,11,3,352,0,0,7,1,3,3,0,0,0,1,0,Attacker
Kayla Mills,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Amandine Pierre-Louis,NJ,3,0,44,0,0,0,0,1,0,0,0,0,0,0,Defender
Dominique Richardson,NJ,16,14,1356,0,0,5,1,4,0,8,0,0,0,0,Defender
Raquel Rodriguez,NJ,15,10,910,0,1,13,6,22,0,1,0,0,0,0,Midfielder
Erica Skroski,NJ,20,20,1654,0,0,1,0,6,1,0,0,0,1,0,Defender
Rebekah Stott,NJ,9,8,775,0,0,0,0,2,0,0,0,0,1,0,
Denise O'Sullivan,NC,22,20,1752,0,3,16,7,31,1,2,0,0,2,0,Midfielder
Thaisa Moreno,NJ,8,5,395,0,0,3,1,5,0,1,0,0,0,0,
Katie Bowen,UTA,19,16,1433,0,1,7,4,10,0,20,0,0,0,0,Midfielder
Rachel Corsie,UTA,24,23,2088,0,1,10,2,15,0,0,0,0,3,0,
Katrina Gorry,UTA,16,13,1069,0,1,18,9,15,1,28,0,0,1,0,
Samantha Johnson,UTA,16,15,1333,0,0,7,2,20,0,0,0,0,5,0,
Morgan Reid,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
Maegan Kelly,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Attacker
Lo’eau LaBonta,UTA,16,8,824,0,0,2,1,12,1,0,0,0,0,0,
Taylor Lytle,UTA,10,4,449,0,2,1,1,1,1,2,0,0,0,0,Midfielder
Cari Roccaro,NC,2,2,172,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Sydney Miramontez,UTA,10,6,639,0,0,1,0,0,1,9,0,0,0,0,
Rebecca Moros,UTA,22,22,1868,0,0,1,0,7,0,0,0,0,1,0,Midfielder
Meredith Speck,NC,15,2,246,0,0,1,1,2,0,3,0,0,0,0,Midfielder
Sarah Teegarden,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Michaela Hahn,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Becky Sauerbrunn,UTA,20,19,1720,0,0,2,0,7,0,0,0,0,2,0,Defender
Desiree Scott,UTA,21,20,1810,0,0,2,0,13,0,0,0,0,2,0,Midfielder
Collette Smith,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Ryan Williams,NC,1,0,10,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Elise Thorsnes,UTA,9,3,353,0,0,2,0,6,1,0,0,0,0,0,Attacker
Chandra Eigenberger,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
Yanara Aedo,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Whitney Church,WAS,22,21,1898,0,1,2,1,8,0,30,0,0,2,0,Defender
Zoe Clark,WAS,1,1,90,0,0,0,0,1,0,0,0,0,0,0,Defender
Megan Crosson,WAS,1,1,90,0,0,0,0,1,0,0,0,0,0,0,
Schuyler DeBree,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Meggie Dougherty Howard,WAS,23,14,1448,0,0,8,2,18,0,1,0,0,3,0,Midfielder
Caprice Dydasco,WAS,24,21,1948,0,0,13,4,16,2,2,0,0,2,0,Defender
Mallory Eubanks,WAS,12,5,516,0,0,3,1,2,0,1,0,0,0,0,Attacker
Cali Farquharson,WAS,5,1,152,0,0,3,0,1,0,0,0,0,0,0,Attacker
Poliana,ORL,10,8,694,0,0,5,2,5,1,0,0,0,0,0,Defender
