Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position,Goals per Game,Assists per Game,Shots per Game,Prop SoG,Shots per Goal
Denise O'Sullivan,HOU,18.0,14.0,1313.0,2.0,5.0,18.0,6.0,13.0,1.0,2.0,0.0,0.0,1.0,0.0,2016.0,Midfielder,0.1111111111111111,0.2777777777777778,1.0,0.3333333333333333,0.3333333333333333
Sarah Hagen,ORL,17.0,8.0,588.0,2.0,2.0,9.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.11764705882352941,0.11764705882352941,0.5294117647058824,0.8888888888888888,0.25
Angela Salem,BOS,19.0,19.0,1700.0,1.0,0.0,12.0,6.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,2016.0,,0.05263157894736842,0.0,0.631578947368421,0.5,0.16666666666666666
Jessica Fishlock,SEA,16.0,16.0,1390.0,1.0,4.0,23.0,10.0,16.0,1.0,0.0,0.0,0.0,4.0,0.0,2016.0,Midfielder,0.0625,0.25,1.4375,0.43478260869565216,0.1
Jessica Fishlock,SEA,16.0,16.0,1390.0,1.0,4.0,23.0,10.0,16.0,1.0,0.0,0.0,0.0,4.0,0.0,2016.0,Midfielder,0.0625,0.25,1.4375,0.43478260869565216,0.1
Taylor Comeau,CHI,16.0,6.0,667.0,1.0,1.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0625,0.0625,0.25,0.5,0.5
Kristie Mewis,BOS,14.0,13.0,1122.0,1.0,1.0,21.0,7.0,13.0,2.0,23.0,1.0,0.0,0.0,0.0,2016.0,,0.07142857142857142,0.07142857142857142,1.5,0.3333333333333333,0.14285714285714285
Merritt Mathias,SEA,19.0,17.0,1431.0,1.0,0.0,18.0,9.0,21.0,19.0,2.0,0.0,0.0,2.0,0.0,2016.0,Defender,0.05263157894736842,0.0,0.9473684210526315,0.5,0.1111111111111111
Elise Krieghoff,BOS,6.0,0.0,142.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.16666666666666666,0.0,0.3333333333333333,0.5,1.0
Megan Rapinoe,SEA,5.0,2.0,205.0,1.0,1.0,7.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2016.0,Attacker,0.2,0.2,1.4,0.7142857142857143,0.2
Havana Solaun,SEA,6.0,3.0,274.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.16666666666666666,0.0,0.8333333333333334,0.4,0.5
Rumi Utsugi,SEA,7.0,6.0,554.0,1.0,0.0,7.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2016.0,Midfielder,0.14285714285714285,0.0,1.0,0.14285714285714285,1.0
Keelin Winters,SEA,20.0,20.0,1750.0,1.0,2.0,11.0,4.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,2016.0,,0.05,0.1,0.55,0.36363636363636365,0.25
Rachel Corsie,SEA,12.0,11.0,1005.0,1.0,0.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,2016.0,Defender,0.08333333333333333,0.0,0.3333333333333333,0.25,1.0
Kelly Conheeney,NJ,13.0,6.0,588.0,1.0,0.0,11.0,6.0,12.0,7.0,1.0,0.0,0.0,1.0,0.0,2016.0,,0.07692307692307693,0.0,0.8461538461538461,0.5454545454545454,0.16666666666666666
Lauren Barnes,SEA,20.0,20.0,1776.0,1.0,2.0,5.0,3.0,11.0,0.0,44.0,0.0,0.0,1.0,0.0,2016.0,Defender,0.05,0.1,0.25,0.6,0.3333333333333333
